,,,,,
,,,,,
,,,,,
,,,,,
,AAPL,,,,
,,,,,
,Date,Close,,Date,Volume
,7/31/2020 16:00:00,197.96,,7/31/2020 16:00:00,2401074
,8/3/2020 16:00:00,199.39,,8/3/2020 16:00:00,2295652
,8/4/2020 16:00:00,201.64,,8/4/2020 16:00:00,1944676
,8/5/2020 16:00:00,204.52,,8/5/2020 16:00:00,2323194
,8/6/2020 16:00:00,204.25,,8/6/2020 16:00:00,1882367
,8/7/2020 16:00:00,208.27,,8/7/2020 16:00:00,3074961
,8/10/2020 16:00:00,209.38,,8/10/2020 16:00:00,2432770
,8/11/2020 16:00:00,211.06,,8/11/2020 16:00:00,4042742
,8/12/2020 16:00:00,212.13,,8/12/2020 16:00:00,2439593
,8/13/2020 16:00:00,208.39,,8/13/2020 16:00:00,2219859
,8/14/2020 16:00:00,207.97,,8/14/2020 16:00:00,2287572
,8/17/2020 16:00:00,203.07,,8/17/2020 16:00:00,3922588
,8/18/2020 16:00:00,201.31,,8/18/2020 16:00:00,3067854
,8/19/2020 16:00:00,203.02,,8/19/2020 16:00:00,2458524
,8/20/2020 16:00:00,201.85,,8/20/2020 16:00:00,1764214
,8/21/2020 16:00:00,202.43,,8/21/2020 16:00:00,1781141
,8/24/2020 16:00:00,207.34,,8/24/2020 16:00:00,3097432
,8/25/2020 16:00:00,206,,8/25/2020 16:00:00,2627906
,8/26/2020 16:00:00,207.22,,8/26/2020 16:00:00,2563236
,8/27/2020 16:00:00,210.15,,8/27/2020 16:00:00,3692411
,8/28/2020 16:00:00,207.71,,8/28/2020 16:00:00,3697406
,8/31/2020 16:00:00,204.87,,8/31/2020 16:00:00,3046152
,9/1/2020 16:00:00,205.46,,9/1/2020 16:00:00,2458801
,9/2/2020 16:00:00,210.04,,9/2/2020 16:00:00,3565242
,9/3/2020 16:00:00,207.56,,9/3/2020 16:00:00,3533485
,9/4/2020 16:00:00,210.94,,9/4/2020 16:00:00,3668891
,9/8/2020 16:00:00,202.48,,9/8/2020 16:00:00,4574748
,9/9/2020 16:00:00,202.22,,9/9/2020 16:00:00,4681380
,9/10/2020 16:00:00,200.01,,9/10/2020 16:00:00,2510274
,9/11/2020 16:00:00,200.92,,9/11/2020 16:00:00,2376385
,9/14/2020 16:00:00,201.34,,9/14/2020 16:00:00,2756891
,9/15/2020 16:00:00,198,,9/15/2020 16:00:00,3717632
,9/16/2020 16:00:00,200.68,,9/16/2020 16:00:00,3571873
,9/17/2020 16:00:00,194.83,,9/17/2020 16:00:00,4274772
,9/18/2020 16:00:00,194.86,,9/18/2020 16:00:00,9066647
,9/21/2020 16:00:00,194,,9/21/2020 16:00:00,4871299
,9/22/2020 16:00:00,191.62,,9/22/2020 16:00:00,3355768
,9/23/2020 16:00:00,186.12,,9/23/2020 16:00:00,3116142
,9/24/2020 16:00:00,195.11,,9/24/2020 16:00:00,5114566
,9/25/2020 16:00:00,194.95,,9/25/2020 16:00:00,3105989
,9/28/2020 16:00:00,199.07,,9/28/2020 16:00:00,3280138
,9/29/2020 16:00:00,196.79,,9/29/2020 16:00:00,2401523
,9/30/2020 16:00:00,200.97,,9/30/2020 16:00:00,3075829
,10/1/2020 16:00:00,198.55,,10/1/2020 16:00:00,2288651
,10/2/2020 16:00:00,199.9,,10/2/2020 16:00:00,2541588
,10/5/2020 16:00:00,201.8,,10/5/2020 16:00:00,2551633
,10/6/2020 16:00:00,201.09,,10/6/2020 16:00:00,2833119
,10/7/2020 16:00:00,203.6,,10/7/2020 16:00:00,2326917
,10/8/2020 16:00:00,207.98,,10/8/2020 16:00:00,2330609
,10/9/2020 16:00:00,207.54,,10/9/2020 16:00:00,3040923
,10/12/2020 16:00:00,214.12,,10/12/2020 16:00:00,3474215
,10/13/2020 16:00:00,210.81,,10/13/2020 16:00:00,3317312
,10/14/2020 16:00:00,211.23,,10/14/2020 16:00:00,7557023
,10/15/2020 16:00:00,208.6,,10/15/2020 16:00:00,4334014
,10/16/2020 16:00:00,206.21,,10/16/2020 16:00:00,3246646
,10/19/2020 16:00:00,205.69,,10/19/2020 16:00:00,3235296
,10/20/2020 16:00:00,208.03,,10/20/2020 16:00:00,3336684
,10/21/2020 16:00:00,202.91,,10/21/2020 16:00:00,3083593
,10/22/2020 16:00:00,205.4,,10/22/2020 16:00:00,2137823
,10/23/2020 16:00:00,205.04,,10/23/2020 16:00:00,2110153
,10/26/2020 16:00:00,201.14,,10/26/2020 16:00:00,3249695
,10/27/2020 16:00:00,195.68,,10/27/2020 16:00:00,3430420
,10/28/2020 16:00:00,189.77,,10/28/2020 16:00:00,4214584
,10/29/2020 16:00:00,189.94,,10/29/2020 16:00:00,3581156
,10/30/2020 16:00:00,189.04,,10/30/2020 16:00:00,3661181
,11/2/2020 16:00:00,190.2,,11/2/2020 16:00:00,2459562
,11/3/2020 16:00:00,197.93,,11/3/2020 16:00:00,4545470
,11/4/2020 16:00:00,197.87,,11/4/2020 16:00:00,3868514
,11/5/2020 16:00:00,202.96,,11/5/2020 16:00:00,2892815
,11/6/2020 16:00:00,201.26,,11/6/2020 16:00:00,2475115
,11/9/2020 16:00:00,214.93,,11/9/2020 16:00:00,6960521
,11/10/2020 16:00:00,217.47,,11/10/2020 16:00:00,4166465
